"list","zipcode","city"
"INT. BRAINOIS",,
"INT. CITOYENS",5570,"Beauraing"
"Idées",7900,"Leuze-en-Hainaut"
"J'M",1370,"Jodoigne"
"J.A.U.R.E.S.",7370,"Dour"
"JEM",5190,"Jemeppe-sur-Sambre"
"JEXISTE",7300,"Boussu"
"JEXISTE",5500,"Dinant"
"JSD",4845,"Jalhay"
"KAYOUX",1340,"Ottignies-Louvain-la-Neuve"
"L B L C P",7880,"Flobecq"
"L Bourgmestre",4970,"Stavelot"
"L'ESSENTIEL",6660,"Houffalize"
"L'essentiel",7972,"Beloeil"
"L.Bourgmestre",,
"L.d. Mayeur @ Vous",4990,"Lierneux"
"LA DROITE",5060,"Sambreville"
"LA DROITE",6560,"Erquelinnes"
"LA DROITE",7000,"Mons"
"LA DROITE",7370,"Dour"
"LA DROITE",4280,"Hannut"
"LA DROITE",4100,"Seraing"
"LA DROITE",7300,"Boussu"
"LA DROITE",7080,"Frameries"
"LA DROITE",4800,"Verviers"
"LA DROITE",5600,"Philippeville"
"LA DROITE",1400,"Nivelles"
"LA DROITE",1300,"Wavre"
"LA DROITE",6200,"Châtelet"
"LA DROITE",6000,"Charleroi"
"LA DROITE",7340,"Colfontaine"
"LB",7830,"Silly"
"LB",7890,"Ellezelles"
"LB",1300,"Wavre"
"LB",4340,"Awans"
"LB",1310,"La Hulpe"
"LB",4218,"Héron"
"LB",5530,"Yvoir"
"LB",1400,"Nivelles"
"LB",7050,"Jurbise"
"LB",4840,"Welkenraedt"
"LB",7180,"Seneffe"
"LB ECOLO",7850,"Enghien"
"LC",1310,"La Hulpe"
"LDB",5500,"Dinant"
"LDB - CDH",6600,"Bastogne"
"LDB+",5380,"Fernelmont"
"LDM",4830,"Limbourg"
"LDP",,
"LE BON SENS",4877,"Olne"
"LE RENOUVEAU",6637,"Fauvillers"
"LETSGO 18",6927,"Tellin"
"LHS",4900,"Spa"
"LIBR envol",6800,"Libramont-Chevigny"
"LISTE ATHOISE",7800,"Ath"
"LISTE MAÏEUR",7387,"Honnelles"
"LLC",1435,"Mont-Saint-Guibert"
"LM",7940,"Brugelette"
"LOB2.0",6540,"Lobbes"
"LOCaLe",1340,"Ottignies-Louvain-la-Neuve"
"LRPS",4287,"Lincent"
"La Droite ",6240,"Farciennes"
"La Relève",5530,"Yvoir"
"Le Renouveau",5300,"Andenne"
"Le blé qui lève",6920,"Wellin"
"Lens & Vous",7870,"Lens"
"Les Communaux",7940,"Brugelette"
"Libr@Vous",6800,"Libramont-Chevigny"
"Limbourg*oise",4830,"Limbourg"
"Liste Mayeur",4347,"Fexhe-le-Haut-Clocher"
"Liste Mayeur",5190,"Jemeppe-sur-Sambre"
"Liste Mayeur",,
"LuttOuvrière",7100,"La Louvière"
"Lx en Mieux !",4990,"Lierneux"
"M+",7140,"Morlanwelz"
"M-R",4570,"Marchin"
"MAYEUR",,
"MAÏEUR",,
"MCER",4480,"Engis"
"MCI",7780,"Comines-Warneton"
"MCS Citoyen",4140,"Sprimont"
"MDC",7870,"Lens"
"MICS",5170,"Profondeville"
"MIL",6470,"Sivry-Rance"
"MOTIV'Action",5560,"Houyet"
"MPE",4000,"Liège"
"MPE",4820,"Dison"
"MPE",4620,"Fléron"
"MR",4800,"Verviers"
"MR",6110,"Montigny-le-Tilleul"
"MR",7500,"Tournai"
"MR",6000,"Charleroi"
"MR",6250,"Aiseau-Presles"
"MR",5300,"Andenne"
"MR",4100,"Seraing"
"MR",7120,"Estinnes"
"MR",4460,"Grâce-Hollogne"
"MR",5000,"Namur"
"MR",4670,"Blegny"
"MR",4130,"Esneux"
"MR",1410,"Waterloo"
"MR",7080,"Frameries"
"MR",5030,"Gembloux"
"MR",7950,"Chièvres"
"MR",,
"MR",6200,"Châtelet"
"MR",7800,"Ath"
"MR",,
"MR",4500,"Huy"
"MR",4400,"Flémalle"
"MR",5640,"Mettet"
"MR",7140,"Morlanwelz"
"MR",4120,"Neupré"
"MR",4820,"Dison"
"MR",7911,"Frasnes-lez-Anvaing"
"MR",7170,"Manage"
"MR",7060,"Soignies"
"MR",7700,"Mouscron"
"MR",7900,"Leuze-en-Hainaut"
"MR",4600,"Visé"
"MR",7880,"Flobecq"
"MR",7300,"Boussu"
"MR",6230,"Pont-à-Celles"
"MR",7340,"Colfontaine"
"MR",1460,"Ittre"
"MR",,
"MR",7890,"Ellezelles"
"MR",6120,"Ham-sur-Heure-Nalinnes"
"MR",5600,"Philippeville"
"MR",6530,"Thuin"
"MR",1480,"Tubize"
"MR",4040,"Herstal"
"MR",1495,"Villers-la-Ville"
"MR",6240,"Farciennes"
"MR",6700,"Arlon"
"MR",7850,"Enghien"
"MR",4900,"Spa"
"MR",6567,"Merbes-le-Château"
"MR & Citoyens",7333,"Saint-Ghislain"
"MR & Citoyens",5060,"Sambreville"
"MR - ENSEMBLE",7860,"Lessines"
"MR - IC",7600,"Péruwelz"
"MR - IC",1380,"Lasne"
"MR pour Liège",4000,"Liège"
"MR+",7041,"Quévy"
"MR+cdH",1470,"Genappe"
"MR-CDH-IC",4160,"Anthisnes"
"MR-CHE",,
"MR-CI",7130,"Binche"
"MR-EC",5650,"Walcourt"
"MR-ELD",4870,"Trooz"
"MR-IC",7100,"La Louvière"
"MR-IC",6210,"Les Bons Villers"
"MR-IC",5660,"Couvin"
"MR-IC",4430,"Ans"
"MR-IC",5680,"Doische"
"MR-IC",5630,"Cerfontaine"
"MR-IC-EJS",4845,"Jalhay"
"MR-PS",6590,"Momignies"
"MR-cdH-ECOLO",4287,"Lincent"
"MSG ",1435,"Mont-Saint-Guibert"
"MSG Cohésion",1435,"Mont-Saint-Guibert"
"MVE",6630,"Martelange"
"MVW",1410,"Waterloo"
"MaRche2018-MR",6900,"Marche-en-Famenne"
"Mayeur",6747,"Saint-Léger"
"Mayeur CDH",6900,"Marche-en-Famenne"
"Maïeur",4607,"Dalhem"
"Mieux Demain",,
"Mons en Mieux!",7000,"Mons"
"NAP-MR",1330,"Rixensart"
"NATION",7600,"Péruwelz"
"NATION",4430,"Ans"
"NATION",7500,"Tournai"
"NATION",7972,"Beloeil"
"NATION",6590,"Momignies"
"NATION",4800,"Verviers"
"NATION",5670,"Viroinval"
"NATION",6870,"Saint-Hubert"
"NATION",5000,"Namur"
"NATION",5380,"Fernelmont"
"NENA",1320,"Beauvechain"
"NEWPRE",4120,"Neupré"
"NOUVEAU V.",4800,"Verviers"
"NUC",6780,"Messancy"
"NWA-NATION",6000,"Charleroi"
"Nation",5660,"Couvin"
"O.C",7940,"Brugelette"
"O.C.",1430,"Rebecq"
"OBJEC.-CITOYEN",,
"OCH",1357,"Hélécine"
"OCP",4850,"Plombières"
"OLLN 2.0-MR ",1340,"Ottignies-Louvain-la-Neuve"
"OSE",4577,"Modave"
"OSER",4845,"Jalhay"
"OSER",5330,"Assesse"
"OSER cdH",7860,"Lessines"
"OSONS!",6110,"Montigny-le-Tilleul"
"OUI Visé",4600,"Visé"
"OXY+",6120,"Ham-sur-Heure-Nalinnes"
"OXYGENE",,
"OXYGENE",6000,"Charleroi"
"OXYGÈNE",5363,"Hamois"
"OXYGÈNE-I.C.",7320,"Bernissart"
"Obj.Citoyens",4840,"Welkenraedt"
"Ohey Plus",5350,"Ohey"
"Osez O.C.",6970,"Tenneville"
"Osons !",7333,"Saint-Ghislain"
"Osons Spa",4900,"Spa"
"Osonschanger",7350,"Hensies"
"Oxygène",5330,"Assesse"
"Oxygène",5640,"Mettet"
"Oxygène",7500,"Tournai"
"Oxygène",6530,"Thuin"
"Oxygène",5000,"Namur"
"Oxygène",7340,"Colfontaine"
"Oxygène-Autre",5650,"Walcourt"
"PACTE",1460,"Ittre"
"PACTE",1350,"Orp-Jauche"
"PASSION COMMUNE",6730,"Tintigny"
"PEPIN",4860,"Pepinster"
"PEPS",5170,"Profondeville"
"PHA",7387,"Honnelles"
"PIRATE",1480,"Tubize"
"PLUS",4840,"Welkenraedt"
"PLUS & CDH",7100,"La Louvière"
"POM",4577,"Modave"
"POUR",5670,"Viroinval"
"POUR",4837,"Baelen"
"POUR !",6929,"Daverdisse"
"POUR CHÂTELET",6200,"Châtelet"
"POUR LAVENIR",7972,"Beloeil"
"POUR OLNE",4877,"Olne"
"POUR TOUS",4990,"Lierneux"
"POUR WAREMME",4300,"Waremme"
"POURQUOI PAS",6860,"Léglise"
"PP",4980,"Trois-Ponts"
"PP",7100,"La Louvière"
"PP",4910,"Theux"
"PP",6230,"Pont-à-Celles"
"PP",7300,"Boussu"
"PP",1470,"Genappe"
"PP",7730,"Estaimpuis"
"PP",4219,"Wasseiges"
"PP",7340,"Colfontaine"
"PP",,
"PP",1300,"Wavre"
"PP",5060,"Sambreville"
"PP",4684,"Oupeye"
"PP",7000,"Mons"
"PP",4100,"Seraing"
"PP",5000,"Namur"
"PP",4460,"Grâce-Hollogne"
"PP",,
"PP",6460,"Chimay"
"PP",4520,"Wanze"
"PP",4260,"Braives"
"PP",1340,"Ottignies-Louvain-la-Neuve"
"PP",7080,"Frameries"
"PP",4870,"Trooz"
"PP",4340,"Awans"
"PP",6600,"Bastogne"
"PP",7333,"Saint-Ghislain"
"PP",4360,"Oreye"
"PP",4300,"Waremme"
"PP",6470,"Sivry-Rance"
"PP",4820,"Dison"
"PP",,
"PP",4000,"Liège"
"PP",4500,"Huy"
"PP",6500,"Beaumont"
"PP",1480,"Tubize"
"PP",4350,"Remicourt"
"PP",6000,"Charleroi"
"PP",4160,"Anthisnes"
"PP",4040,"Herstal"
"PP",7700,"Mouscron"
"PP",,
"PP",1495,"Villers-la-Ville"
"PP",6870,"Saint-Hubert"
"PP",7860,"Lessines"
"PP",4620,"Fléron"
"PP",4800,"Verviers"
"PROJET ACTION",6671,"Gouvy"
"PROXIMITÉ",1330,"Rixensart"
"PRS",4350,"Remicourt"
"PS",7390,"Quaregnon"
"PS",7180,"Seneffe"
"PS",4800,"Verviers"
"PS",4360,"Oreye"
"PS",7320,"Bernissart"
"PS",6150,"Anderlues"
"PS",5600,"Philippeville"
"PS",6530,"Thuin"
"PS",5170,"Profondeville"
"PS",6210,"Les Bons Villers"
"PS",4650,"Herve"
"PS",6220,"Fleurus"
"PS",4600,"Visé"
"PS",5650,"Walcourt"
"PS",4400,"Flémalle"
"PS",7600,"Péruwelz"
"PS",7140,"Morlanwelz"
"PS",5070,"Fosses-la-Ville"
"PS",5060,"Sambreville"
"PS",7800,"Ath"
"PS",1340,"Ottignies-Louvain-la-Neuve"
"PS",4470,"Saint-Georges-sur-Meuse"
"PS",4000,"Liège"
"PS",7780,"Comines-Warneton"
"PS",7333,"Saint-Ghislain"
"PS",5150,"Floreffe"
"PS",6250,"Aiseau-Presles"
"PS",7618,"Rumes"
"PS",6110,"Montigny-le-Tilleul"
"PS",6567,"Merbes-le-Château"
"PS",4684,"Oupeye"
"PS",6000,"Charleroi"
"PS",4610,"Beyne-Heusay"
"PS",6780,"Messancy"
"PS",7500,"Tournai"
"PS",7830,"Silly"
"PS",7870,"Lens"
"PS",7640,"Antoing"
"PS",7972,"Beloeil"
"PS",4100,"Seraing"
"PS",4460,"Grâce-Hollogne"
"PS",4280,"Hannut"
"PS",7000,"Mons"
"PS",4670,"Blegny"
"PS",5000,"Namur"
"PS",4130,"Esneux"
"PS",1410,"Waterloo"
"PS",7080,"Frameries"
"PS",4877,"Olne"
"PS",7380,"Quiévrain"
"PS",5030,"Gembloux"
"PS",4340,"Awans"
"PS",,
"PS",6900,"Marche-en-Famenne"
"PS",7950,"Chièvres"
"PS",6200,"Châtelet"
"PS",7160,"Chapelle-lez-Herlaimont"
"PS",4120,"Neupré"
"PS",,
"PS",4500,"Huy"
"PS",4820,"Dison"
"PS",6180,"Courcelles"
"PS",4690,"Bassenge"
"PS",7170,"Manage"
"PS",7090,"Braine-le-Comte"
"PS",7060,"Soignies"
"PS",5620,"Florennes"
"PS",7700,"Mouscron"
"PS",,
"PS",7900,"Leuze-en-Hainaut"
"PS",6540,"Lobbes"
"PS",4620,"Fléron"
"PS",7100,"La Louvière"
"PS",7041,"Quévy"
"PS",6230,"Pont-à-Celles"
"PS",7300,"Boussu"
"PS",1300,"Wavre"
"PS",4540,"Amay"
"PS",7340,"Colfontaine"
"PS",7890,"Ellezelles"
"PS",,
"PS",7130,"Binche"
"PS",6240,"Farciennes"
"PS",7850,"Enghien"
"PS",4430,"Ans"
"PS / Vivre Pep.",4860,"Pepinster"
"PS MC",7860,"Lessines"
"PS PLUS",4910,"Theux"
"PS PLUS",4960,"Malmedy"
"PS Wanze",4520,"Wanze"
"PS+",4367,"Crisnée"
"PS-#",4257,"Berloz"
"PS-H",4040,"Herstal"
"PS-IC",4570,"Marchin"
"PS-IC",4300,"Waremme"
"PS-IC",4160,"Anthisnes"
"PS-ID",4630,"Soumagne"
"PS-LB",7730,"Estaimpuis"
"PSD@",5300,"Andenne"
"PTB",,
"PTB",4684,"Oupeye"
"PTB",4040,"Herstal"
"PTB",7100,"La Louvière"
"PTB",4500,"Huy"
"PTB",7080,"Frameries"
"PTB",4460,"Grâce-Hollogne"
"PTB",4100,"Seraing"
"PTB",6000,"Charleroi"
"PTB",4000,"Liège"
"PTB",4600,"Visé"
"PTB",4800,"Verviers"
"PTB",4400,"Flémalle"
"PTB",7000,"Mons"
"PTB",5000,"Namur"
"PTB",7500,"Tournai"
"PVC",4000,"Liège"
"PVE",4430,"Ans"
"Parti Social",4480,"Engis"
"PdH",4180,"Hamoir"
"Pecq Autrement",7740,"Pecq"
"Pecq Avenir",7740,"Pecq"
"PepS",5190,"Jemeppe-sur-Sambre"
"Phil Demain",5600,"Philippeville"
"Phil'Citoyens",5600,"Philippeville"
"PluS",1400,"Nivelles"
"PluS",,
"PluS",6870,"Saint-Hubert"
"PluS",,
"Plus d'Echo",5350,"Ohey"
"Pour Habay",6720,"Habay"
"Pour Nandrin",4550,"Nandrin"
"Pour Ohey",5350,"Ohey"
"Pour Vous",6840,"Neufchâteau"
"Pour Vous",6980,"La Roche-en-Ardenne"
"Pour Vous",6850,"Paliseul"
"Pour Vous !",7730,"Estaimpuis"
"Pour vouS",6700,"Arlon"
"Pro Citoyens",4470,"Saint-Georges-sur-Meuse"
"Progrès",4920,"Aywaille"
"Q W DEMAIN",7390,"Quaregnon"
"R-Renouveau",4350,"Remicourt"
"RB",1440,"Braine-le-Château"
"RC",7300,"Boussu"
"RC",1480,"Tubize"
"RC",6200,"Châtelet"
"RCC",4400,"Flémalle"
"REM",1367,"Ramillies"
"RENOUVEAU",4357,"Donceel"
"RENOUVEAU",4607,"Dalhem"
"ROC 2018",6671,"Gouvy"
"ROPS",5640,"Mettet"
"RPF",5150,"Floreffe"
"RPG plus",5340,"Gesves"
"RPP",7600,"Péruwelz"
"Respect",7880,"Flobecq"
"RpF",4190,"Ferrières"
"RéCit",5670,"Viroinval"
"Réagir",,
"S.P.A",4900,"Spa"
"SAD",5330,"Assesse"
"SENS",7830,"Silly"
"SOCI@LIBRE",7860,"Lessines"
"SOUM.DEMAIN",4630,"Soumagne"
"STOP & CHANGE",4920,"Aywaille"
"Saint-Nicolas Plus",,
"SolidaRix",1330,"Rixensart"
"Solidarité.C",5650,"Walcourt"
"Stoumont Dem",4987,"Stoumont"
"TC",4890,"Thimister-Clermont"
"TE",4550,"Nandrin"
"TP",4557,"Tinlot"
"TPA",6791,"Aubange"
"TS",5300,"Andenne"
"TUBIZE AUTREMENT",1480,"Tubize"
"Tous Ensemble",1435,"Mont-Saint-Guibert"
"Trait d'Union",4837,"Baelen"
"U. COMMUNALE",,
"U.C.",6630,"Martelange"
"U.C.B",7100,"La Louvière"
"U.S.B",7620,"Brunehaut"
"UB",,
"UC",6990,"Hotton"
"UC",4219,"Wasseiges"
"UC",6560,"Erquelinnes"
"UC",1370,"Jodoigne"
"UC",5377,"Somme-Leuze"
"UC",1357,"Hélécine"
"UC",4577,"Modave"
"UCA",7640,"Antoing"
"UCPR",5580,"Rochefort"
"UD",5070,"Fosses-la-Ville"
"ULP",4340,"Awans"
"ULP",4460,"Grâce-Hollogne"
"UNI",6500,"Beaumont"
"UNION",7130,"Binche"
"UP",1350,"Orp-Jauche"
"UP ! Juprelle",4450,"Juprelle"
"UP!",4053,"Chaudfontaine"
"UPB",4210,"Burdinne"
"UPM",7170,"Manage"
"UPQ",7380,"Quiévrain"
"URP",4850,"Plombières"
"UV",5560,"Houyet"
"Union",1430,"Rebecq"
"V. Autrement",5670,"Viroinval"
"V.I.C.",5537,"Anhée"
"VEGA",4000,"Liège"
"VERT ARDENT",4000,"Liège"
"VERT DEMAIN",5570,"Beauraing"
"VIDEM",4530,"Villers-le-Bouillet"
"VIVR'ACTION",,
"VIVR'ENSEMBLE",6750,"Musson"
"VIVRE NANDRIN",4550,"Nandrin"
"VLC",4500,"Huy"
"VOTRE DOUR",7370,"Dour"
"VOUS !",4350,"Remicourt"
"Vers Demain",4340,"Awans"
"Vert Herstal",4040,"Herstal"
"ViAV",6890,"Libin"
"Villages",1325,"Chaumont-Gistoux"
"Vision@Venir",6980,"La Roche-en-Ardenne"
"Visons DEMAIN",4600,"Visé"
"VivrEnsemble",6820,"Florenville"
"VivrEnsemble",6120,"Ham-sur-Heure-Nalinnes"
"VivrEnsemble",4987,"Stoumont"
"Vivre Dison",4820,"Dison"
"Vivrensemble",6927,"Tellin"
"Vouloir",6720,"Habay"
"VousHéron",4218,"Héron"
"VÉ",,
"W. Ensemble",4950,"Waimes"
"W@lter",4300,"Waremme"
"WACHOU",1300,"Wavre"
"WAIMES & Vous #",4950,"Waimes"
"WAL1",1457,"Walhain"
"WI",4000,"Liège"
"WI",4400,"Flémalle"
"WI",4430,"Ans"
"WI",6150,"Anderlues"
"WI",4100,"Seraing"
"WI",4900,"Spa"
"Wellin dem@in",6920,"Wellin"
"e-PS",4140,"Sprimont"
"idHuy",4500,"Huy"
"idWanze",4520,"Wanze"
"liste MayeuR",4280,"Hannut"
"moDem",6200,"Châtelet"
"particiPe",4210,"Burdinne"
"pp",4130,"Esneux"
"rcGH",4460,"Grâce-Hollogne"
"éB",1480,"Tubize"
"équipe",1390,"Grez-Doiceau"